model,owner,mileage
vrPdlCvS,askW'!VLsN2aNn26aSrrjhf ,9644.241211
YzWpBOJJ,!Df8N0FrbY#,2828.637451
ZsKKsvsNgpmsSBG,oYlhckB9l-QnitNW5gUZn!MY0,2595.363525
iQcYOv-OYv,-iT-G?T'v326rrBD6f6O5Kkif2TRw,7476.127441
sjuTB,GEgzZM.tG!Do#VhN4EquKJJuq.,4410.637207
WfJtnbvGvcGGu,td8gfc?b.t61Qa0i,4158.372559
AIHdxpWBmHs heLd,gBDjFo77rOU,1644.725342
YCGMnobbKJJ,iEgVJAGn.265Z,4150.342285
-qOrg,kJdzGvYZ.,3494.758301
FDvyd,dokO'-zxejllNm!drTd?dU3,9110.440430
wkpaz,N4O4Bjb.02Ruo77Qf0BbM#vN1xS-F',9709.456055
aZMdgsHpsRodh,O6m,370.460419
-G,FCIpNn6dkCNhOOi4#DE,1219.903687
mLTldSm, OpG9PIs#MBW47CD2!V0zb5?,5838.085449
GuBffaSKRBhdX,5EaD1iMTSaxfvCD269bEI,2599.625244
pTkbpIEZbOXvp,Q8puW,5338.536621
IK,W!T5h,7224.457031
IyUMgfUYXAujllt,TCKYW3FCZs,8094.861328
NHlmPKJvhkdJ jh,S5l2kle8u1YeFeBICdWdnKccx,3118.534424
fNq,JyO?Yc51-Wol.'hK5DEK8ceEXITxLm4,6260.375977
u YVQeFHHeDPnP,wKX1,1946.083374
YsNgejmhKrVeJT ,Z5Ad!rawptp AE,9840.480469
EOXMSdekFQiIS-m,!h.fWjWxyNYFwlIKJ#-90,7934.903320
 PYvNrmrEp,nrXsa-# m4aadV6pvBi5,8904.376953
zky,.hIiX'6bRT4'ZoN,5067.491211
nlujWlwIFg,p8I'!NdYx5vAn-kcRgSK'YJ,4804.060059
hduvEujdXa,-m2BYzjO#9ysUglNdX .,4146.209961
 UHuk,bKWb0a,9245.956055
RBd,!bxMSN,3464.530518
KlZknnbS,JZp.rx9r,6292.838379
qyS,m5.UmMmjJ4Kyo6KdeG7B5,6574.937988
B,9aoIaPK?4O,2989.359619
TOxyGooYRHwBg,kvGzwZ Usa,4595.140625
kyLpXFc,cy.!w6P62c-IC4YO8MES,370.974854
Ccovj,2!OYy,1879.668335
 uQKXEAhwjBeU,'Pf2N1tRk,5815.540039
ANslEEwmmGU,gmO?ynbtMP--N'K7 r!8GIx,5946.897949
wvvxyVcfxsiBTrcn,oZKZ3yW9xUM50-ZqE-#8k9y,2750.568359
ZmtAz-G,zJYwByYeL08qWNXT'B,8074.460449
EoCyV,ppG J?nmcpY8edfeI,9963.959961
fbjRrEPfQagkjdiC,SKOBvzdyVnXRxg8ctSba5GNAgx59-,7805.642090
HG,4jvnC0X1Ua?xBsFI,1093.837402
KdIVEENKfYuHP,Qusq2seOCg,3076.631104
VWBSwOfMjRjw,cH,2741.385498
OxQhhzLxiFn,ekRobLa!q5iibNOo'VAe?,4568.522461
beXSahIvdN,#6d-UAb--b7qjvLtkk3m,7103.320312
AlTUbkeNzVwl,Vf,6207.958984
rjAfMHx-,mPn.3EsYq1ccIv.07msDBMVL,2664.217041
FaxfjDPMoI,'fvsZEqtfUX'eVe?DH!FlF2Fq,5595.963867
kr-v,YRY?2Z1anfIVq??.h!VAy9O,5874.039551
uCtER,hJa-PWaG0Ua8F6qW?jctmI'S25QpAu,6294.097656
BWTCz,MYW  K#PmZtJPpG5dXTb38-#,1006.068237
SQAJyTjNDRek,h,1470.540039
kuSHQRnl,H2L2L4Z C2v ,6021.203613
fIMlhfM,p8WTrS#UHdU?lL,8621.406250
qpDMu,tdnT?e03oM1?F.hqdI8u?#QEADIvQRb,4874.659180
gdo-,5ceftqhrGFt!Vd,3188.869629
DbREOQ,yTRkr,1774.431763
P,7pGmNtF8!vn-5B8lthpXQf2KHlFylGy,7979.428223
MX,rYIsAbY#2,6353.828613
BKUtXG,Dh4pcgePqnCH#8,4406.131836
PcgyeETXLie,xj#fM48mTQES.7dHcyYcO1aDSP25T,2655.214111
bBlfOuUA,VSK6c!KSgjl8xfgzOPmqVR1H8qr,8978.571289
aVHcypiIcfqO-cdF,FvoV5jnmjbNcAV!x9WDm6y3!Uo4,8177.011230
OvdWQflaqsAHeqBp,bQ4OSO onYNPX'RFoDn2K,1129.187256
KLEXLfmVduohzrVb,Qo'2bOow-xCR1!jUur-,3796.414551
GzHnoWW FfIBfP,7538Pwd.,4129.413574
oSMEzvNMzxvxNR,3UP,5583.938477
GkrGXlq,TAVnV7V2U wI8OPT5jpg9DQFq,8394.869141
-,1etBT8Qpfd rNx!-ywqSv,6975.276855
OQkrjNFC, CXD50c'n?lxf5ab#KtiaZBtPs6Es,758.741638
eEgdIVrMQA,J0'XWNIxBANtJ2zpsAEBxV485esq#gL.,8380.388672
 R-aL,Ee89l1WSu'.ctL61Q MnvWWOW,6827.187500
o,I6P3D!A,5998.269531
wAeujqYQUVwRRxo,mP4o'hz,8294.165039
ZPhCFbCn xlVzpoL,j3a1VP?VR3u1c,1723.736694
YC,k.cu x5OTLDZ9b6Q-GeaiESD6aTOTvR,6963.684082
Sh,1r0KVc9!x7UECRYDNJ?PUCsh1jZOAT3g,465.409454
QxJCRBktLVx,76Euu7n#.8Y uc,9080.802734
e, 2LRinNe.x1XhXAT'i,1819.370605
D,jri .hH77Un9Ga Up8n,5533.769043
LOumhKEGrJkDy,dCa5NJssFQqiMK1Pi,2780.870361
HU,3skxVTsW!VHq4qko.cCuNF9F6,770.067566
diQT,tb5ZAf6nCPK,8658.680664
lITKrWYYz wDzdma,!FPp-2KoAf8VHQg.5i1t,9493.567383
nGkIiNql TryYB, MkP!?bWkimPHM0fFk40GX1ANlfM9,7193.453613
DZrdBNlk,2?m4K4N.dqXAxG7H v. O r8,1447.135132
WPqssoEGJTgne,#SX'q,1937.674194
CXZXtVVyiETXtJ,?Tky,3313.322998
FFhGcXx HtQ,UQ'xDHi6UFTLprTzvq31Bf2v,8127.563965
P,9,3650.257324
eFcZSIlkiaI TcSv,c,6758.984375
NXow-OYY,Zqw6GIrAHI-ciU8wUML2RMcNWq,8115.922852
ABBXufXvrNQp,R.VnU?hzBpADr1?qd?m9mPGvY,7494.465820
Gr-MNM,769cH!hy5M!lI,2350.747070
ZVIoFde,q53tld1JD7,8492.615234
stTQr-YOezWOHC,bKcb5BQVg,5591.294434
cYqCOA-pJe,QZKt.Ty,6545.060547
ec,DsDWBHYY4!DxQDJpN,6763.831543
RgUeMsL,B-QvLId'L4H cEbon1UhAT#i8qqajX1c,7007.814453
OeB,tar5jlU9zd4wHByHxpo0TqFfAb,5077.041992
GyDSSbbhdH ov,.7LgC3WI-ht2GTvnm6 !3CJ,6940.198242
BSvuCCpPtho,z6qE.fvSrdpl,4386.339355
vknDpUyQLE,BOPR,733.646790
mWSoSffCUFsMz,QuYzh7,1793.590942
XBvc,.-U,349.491730
IU,dYTl'DznoSfc-P!vavCe9Mgs-vmwOBo,5057.410645
YWGcIiklezkWUGBU,QLU3k5X4dqQhzcnGV-FeiXX,1109.575562
WNbYzApxmtP,YB!UtgAGNwELJYntSPxNlxPaX,4016.310303
qphCMuuTEiefzxA,D.4!FKYbK,3045.848633
hxfG,7aM2d-.i?Hg16XqG,6587.728516
nXyiNPPCd,EHaqzrN,1902.834839
YycVpsAjqhTNhTUR,qbxYrT#GMzn,2782.138672
ozIXKXBsgZcqZ,4#-Jg,56.658726
oSDSZAlg,JefAs9EtUwEEszWEpY5sNZuL7F4vw,513.495239
HrMnqVaGCIbkhi,8j LZ-J3tBm,5217.116211
vWWFX,Ntv!3YNNMw3GGAkW2-UjEleiybEHX,5301.037109
HzldexujPsXxIGr,RhZk-r,923.065186
jRYFy,xlKsM3,7302.062500
IPICUYQrHMrxZvO,!PVOkJ4brFu,6501.741211
SqOZelkqKHJEyxA,w5hpK5fYpE,5945.329102
SprSQXYeT AQh,SReBXTJFYcEpM-fc7ggfeRjLncRcmQ9,46.545773
vMP,eRsG0AzoI1uocYvr'mm8cMtsQvxC9'9,7830.566406
Z-XwKHrDln,hrakYGiGxi6ewUKTZGzw!0W2YxU4M8,1332.650391
TFXrOIRlJJNyNu,8m0.5VsFwU7m1hf5 37l7fnJD1,8953.021484
eM,ER'6nO?bXQ,188.047729
URRlJLtf,0emFgd-hjtlidhlCVd7fDZtY,3163.793701
fzcHu,d5EMR,7755.398438
YQSWiYkIP,tKJ9SSdtkIxdPTKQbCx6iGlCkz,7016.792969
tTXfb,UTi6j#I-PiEwD7Onj#,9724.415039
HbWYymTvoEOc,ld#u4FwcXmWcoiCr4aWRVkh1B'Z,1961.531128
oBHnyf-,mFw-P1',7261.211426
cRWiMTAv,JJO?WZpJX?,2550.077393
zhHSFZxYMYmU,-vD6Vxa'MfPFOMm7S,3240.604004
MUPraH-hgyAAMTk,CT3oaU,6361.396973
RcEaWn b,WE!8zMLO,8656.398438
kuJC,9A-D5rI8CrwnpzJJi7k7!cekZcUmwk#,9485.412109
RgMJsm axtIXB-fj,FzP4pUXd'B,9923.914062
eCAhJDJeHVRtnrNU,WP8hSJkHgdPIwjnFHOX?0F,7953.924805
CxeABN,ZQ34sdpTSwh3Vq0gFM,7384.867676
diVSD,4m9HH7jM6qqDFTCPRj69ASG9rpt1',7173.103516
ngOaq,WzG8W20pmdks gxeGw#,5561.915039
brsDSieuZvIhV-Lq,Fn'c1'LRSfKE1Z4hRlREC?kmj?,603.970398
hsjvGaq,-zhOYvj,2093.477539
kzBROLulAdsNG,JRUjLw,527.137085
MAyj,Ota -QWvdltq!QYR,4427.429199
L,FTAKGu,1219.505005
NTuB,aOiPcyt#Gs0fbe6OBUTb3QuExE,7414.885254
ZvxulfGtZypXbnO,o6XaN.uTmm-DaU7WEmbR?kDHDZ,7003.937012
wlInJvl-m,?0nM E1O7N1P.,9581.810547
FtkyvKxu-Bs,jzBvsMFOTF-X,5989.809082
xGiJGNmPsP-,VhzyQ1UVHLf8b,1029.916260
Ac YgjEM-MFCdVyw,nw,5239.073730
bHlAflD,DSR,9194.704102
 CNFNEVZbQ,Q-EvDg56y??sIGbeTE,3659.776611
DzrtZZLNsed,7YPMqrl7QAU8T9uLJPCF,1531.981445
GeT,iNu#VQ-5LLBc6Im?5r1TSc,1348.296631
JQrpvvDhhD,wa1AIM14!IJcxaha3E-,9175.306641
ro,U4Ao8TC-tmwBqOcSm2DXlj8yfJUY,1501.059814
zHzdKpTJHGpIgkvG,i#'oEn0kaugL#hEaoh5wM5fYu1t3u,9482.284180
fJfiMeDn,mtv9Lv8pGN2t6D-t'rEVkKGqQh68-w?9,3426.717285
P,P?eiZzxdJPac,533.458008
pGvCjtMWXZ,qy#g76jheg0Qz1Z!uxG,2960.747314
abYCjc,C6Q83pOp,785.405518
cUmlSDl,lteq,3263.761230
E,fV1-Hf9xr tc.WTl1TixPck8p,4089.893555
tyac,mm5fkTGJ?aqPQcX,8879.816406
qKiQsSnTCKSH,?dQaI#KqT SJbG67YvNxn9iET,1456.023315
KnMesMwK,WR?OGfPa,1654.303101
eMeXRQGTzXQh,CKuUOjyaRoLk9hnxMC2liRgj,6856.920410
NqwjNoiFDb,.USAuL'ePENo,1271.357178
YHDuU ,PXcF9Ga.UP5RlPrnlRt721 O6I vLI,4087.061035
ZrEYrxqT,3D03yvtMqAm,7825.070312
yExiQFctLWSam,HsmALVogzTKvUuS7UF7,4531.289062
acQ,zAug,5876.027344
aAcvBiRfcFiY,x6SkSaHLGLWm6P40bBoYGj2vvpqkH,4975.221680
sTAyRD,7#gLtiy?5d 2VJvxDOC7CjZBW.T!F,5285.702637
Z MIFV-KQZuWHJ,K3a5cn,5104.489258
wyzXlMworNvxN,fnD2aKPpi Vl.9TrPIpBS,3363.153320
daEoKtBvdx-nYt,3KWGOkZacmBpWtEOyLn8zFi,4072.159424
RPz,gz!4h?tzpm!1aeF,2649.751709
dDrHqEYPRrZzHkMr,GbRQ#SIVem.a2AuNyeOrK0.TFq#JUvEK,6229.392090
ZmUOpwPqAXUXJpeR,GR0EcdjHn!YrzrbMIK?rn Yhs?,2611.784424
LakBBF,638C1LA4O1OJB7PUrhyzp7J8uV?O,5801.383301
AAT,XUbgD1fFjx6skARd4CWZwUO1y,8936.592773
wRjFbdAb,pdflx2!ur3aJOwh#Ep?0C,2096.221436
jnrtODLSh,cQPgN9LdS,9132.623047
y,qszdFP,6098.534668
kCX,ueVJse0vbE'BZK !0 Y?lLoOsyD2Hh,4614.440430
YlSPShHL,yVzgURzpqtoUEN,9113.577148
R,YSn3auRA1Ee,6677.464355
pbQunNttCkjhGyJO,'Hi-IH w4Kh4WleZ7Eb,1177.325073
DbEraja OEk,Ip9Ml3MQB,6052.578125
ae,nFF-UFjHASjHwYeLT9g1c7uXi,6937.919434
FOQ,Ln0FX1Dgs6-rxauYuWxx3ED#Ol0t2,67.402130
ddve zYsd,8JCl96vbgC3G4yaBu'k52Eqp?,529.725525
OeF,tAK,5946.827148
XcdzJsRPwlfPsNd,FWYD-u,7679.146484
IcALeC,L5LDFHT3#Vz!Kh,1546.179199
PjUac,StzJckwU,6222.995117
q,J?gH288NNcfET7i8?Tz4ynhI,755.050781
ZVl,ji#sh5b,3786.812256
VFWP ,x1D!z9prvu2,5560.065430
OF-PyUZfm,y2?3sVRi0EExtQ?CdfK,8519.759766
IBSdwGhzK,K?7N?ERD,9419.139648
-umDyiaxMgOpBN,4g76InSxAKn48g3Swko6atjlYc7ZU,6553.639160
n,etsoWAxfNE0,6038.966309
IWveGlrME,Dva5,7287.841797
pBRcxOUY-l,Itl38,1495.289551
hhwzQ,pRRYAGStXt,1261.822266
V-yUiZDz,gAZl5,5593.536133
--u,keoT,2137.608643
bikjxuzvxe,a9zeJdSYpMzyBVoz2,2497.930176
ZZIOQWE,go7kTSxwDr.R7,4826.534668
eNclhtNZ,4-4sDGs1Sc6Rq-yQU!TwfGryeHkH,3622.412109
tgESGkw D,Lv2ShcBQPbQl,5216.958008
XSKLUqFN-TxMt ,-12CRw,9194.179688
eNxLaSlBExujRhwc,O? vMN9flKibYOZl4arM5QNYKKys,4209.727539
KYirRLrOiP,yy0G,9127.818359
Biyw PXhJY,X NT2RR'CHiGbAyNJ5n7!A12,5977.634277
tktroMGydDS,yoi8DaJOaeetW'wLvRK8AAyzBKKU,8163.897461
JBuDRrHXAvND, laXwfyjfS!ew#,4896.380859
UCEX,#!5Bo7OsZ!XvdIeBM5'6,378.985168
LgFc lG,O5jaFzRQFkn!odH7dZdZM.o,2967.634033
wfziJOvRNW,Y72''X?f1SaXITAG'!S9mML,3679.739014
nGihHAZJGDHXK,1-z#'8d-.VV,7910.444336
Jwe,SmSj36vu,3027.463623
RsouDNii,LnoM5O#7..tTa-pywxUy,8037.257324
bTne,eqy6'KcS6!Y7Ui,4016.502686
CeJrCIRwfyMi,Mkt?DFwKr,2710.233398
bDs,RijJWIK9b8#pCxBYV81!Dd6bb,2467.168945
yMSE DUueo E,h'193,2995.158447
kCzKrfiNfKYO,eqAei2ZKr-?SWnwbPmnsYVI,7190.411133
WhEVxE,R.5eMpEh6Fo.G#TzAAUlFBp,8641.157227
NaX,e94T3Ooq-7N4'EUscX0HFbl7E,7505.194824
jsY,LuakuO.Bg,8351.406250
eRWzhKvFp-C,b8gtjnLR!2HJvp!,1918.922607
vFnAazSM,y-!lJMWf?Q035y-MnuC'dLWY5xmH,9129.203125
asgmrAYjvlFi,M0sXC6qm oMOUqlLqaNzTCTqv6-,3156.554688
oqV-ZlbqGfQpM,ylRZ4?vaZEd,5117.252441
YdnOMrytwvQQ,u5Ib9-# bp0-8hiYXTc U5RWE,5569.530273
wFIsWYYQ,JO#MhKunVU,7238.757324
iQyd vfq-jqurdY-,V2kQwRI36Vm,3547.554443
uvOJsyjLJ,9AjV9mtn6WCGvROuOFKmVDlIrL3xaIC3,2659.943848
S,.c3M2cewdcx4mp5.UOpMCGcS-Av-o,2847.585693
 tMq,OmO#d3QP5S!8,4512.065918
YcGU,cZLEGtD'PCrD??7uMlYRjsKHGAO,2577.354004
qHMHXt,?4 ,8132.583008
VhzrBXRvoa-zIA,P V6acBhS03np7uu0g2Gj40Z97aj7UA6,9371.835938
aoJWUsNhROtFwHM,CCrz OwiMYFmDurtfJytXNH,8197.281250
OV,H-E9pPmJGpR9aD,1009.005249
HHQTwazBpBG cd,EuHRBb#AHHe5?FwUmgXVIMgYnLi0sPi,9777.861328
aaJaLstmZzRxfTt,ZjR0LppCHM#MP vVVIXTAbV#DkRV6,8811.566406
CulLqF sQRdZ,KFXXZ5Ix0MR,6907.296387
aKXajybJJvIuln,9s.J6NJxhZ2L55!uIAHv3Q7R-jiF7,8416.360352
f ,tIZVq2GEp4D047W9LX7ol,7154.764160
RCNlTbFyz,BD9JBO,2908.443604
 RAWXPCkPH,4 hH.WEePd7bcXBvxIByNMPxbz0ArNy,2855.136719
NLRovnLacLN,VqfDIUSb,5478.657715
 pryLfQFB,gab6Yt2MaM,910.444031
gVYCSggcmBkXW,clmuuU!iFhfZx,5098.411133
c ZPdzxGJJjRVWd,0kalgC12HJ2Kdwbc!0sLsa-k#U9,4437.623047
xGfwEuXInxRH,F#TIVrMij-mVv6wFQsIEj?5RNLgG,4139.967285
uNyxTC,W?QyVVBLSFXYtjETJ0k3b79!,4224.237793
pfk,?-,8893.748047
ZoPSwjig,HEeOpUAhuBqhEba9dbnhzdb-RXCyu#,7464.228516
AODUkL-fkNnpk,1JL-k1yjeErp1,3166.516113
enu,rHS KgI0KNIJa49 j2j6qUq,1119.719238
DDFEAufE,Ea ,1971.264038
EvEWfkbXDJoBwL,K?OXI#sgP1Pt8GYq2zM9O,5552.932617
xzvEXdd,'wWD5bCmd2C,6213.674805
Hz,zD'igU0sqmgQy74,2837.639893
T-rI,CkQHZyZca'3j'3ZRUJV'TZTROoPL,666.180847
Cr,R34oY#,492.878479
vuJRKuvz,uY,2596.346680
ddoSylYyZl,Zq8Q.-,3698.122314
GrMJJHbwB,uYVF-mN KQ29qF7m?W E1ZZg-Y,4347.497559
lWP,9 Fj-QwQ0Bce,5366.386719
zLXdtLpS,-t8cHGEbX9 x1TLXQuTZFJQ,9397.453125
RoflLbp,JO06ah4YXCMIrkTxkh2fOVVvdPOlslc,9493.765625
pAS,wfpC 3 0DtY-QSYPHSTp3,8998.107422
R,cG.a2m#Z4.gRUZRKDMvSC.,9982.088867
btFuBjP,yR Um! Cfb3Y6lR,8268.592773
hZxTsoTaDaQzEnOS,KvI.IEZEwL!!jv6V,4593.016602
 BF,Rew,9249.311523
AvWHRLfXReJOlFR,Yvn?aSECJb9Y79FuwUhIkZZ1,962.878845
zih,w-rIL'Est9BXRrTE,8939.533203
sw-GdUXrMbWvP,?CVVwQ3'Vus#WCPdbpXg,1708.732178
RHD,Ggb8XH03rd,8475.393555
wE-,.xhNAbcTDBs,1587.965820
dhsfccddOTcE,GupglCmUSTm31??d,9734.905273
NNTVDhdI,zq16cFNTe#YmohBV6UK89H#0xVrDnBj1,1197.074829
gBfFqsw,u?fqitiXjBpqy,9996.385742
mzXfIP,nv3AUeu2tKq-7kky7!FeAJR,4183.099121
BzjBysBp,nOEKl,2539.134277
qdhvE-w,CtudgcPS9SCbxoOGW,3818.996094
VABmgw,AutOODkBHsmhWUDCY,2955.391846
VpipPLbtEEot,t9wG sP!ETP6dcuG68R,6028.234375
NFBNhLVdhhwAe,kGAp5P3eJd0G'zezjFZTYmV,6206.692383
kIaMgQyDfBMS, p35fPjO582V3IYu,9392.808594
AN,zc05#cReRLDCdTpTIx8VGo,6617.039551
WSJACHzMCfk-,W2RoE!.2e?vjbKfJX9P3Q-TmAGC,3626.997070
s, smM'2'XkKX6N,5161.539062
 IVRgbQEUvdL,ssglj3pN7lVesVPOsT 3cL3vF o,287.569183
qxBuoWcZcJs,qzWgj2fsiFBkYozKJERxg!lb2uo?71N,4475.728027
nSHKqom-vnMcnrv,i-6 '#bnTy0t#LKerUrcRYITqscL,8164.120117
CkUXg-uIofsjbdl,rnN.BU.,8491.577148
CAPU-soJhfU,KAjcL3yip4JS.tlJ 4ZR 3M,5615.900879
fBQHslQrCTzPcWT,-,1301.450073
tHrFjqlcOj-,fnwpvDpwufZ0p9?v,9132.637695
OXigU UUEEPDmL,6j8TwdxDAsTir-oVBmPJ4.OWp,8953.589844
T-LZUKY,3.XUxxwXOcCmTeSOiA,8190.452637
 BTYPLdlmqcv,2BkUr3TcHOt rwG7cud?S4-S'Q3xuWK,9245.305664
sTD,pabVRB?!hYhK!pc1FC-C,545.141113
arV,Uh!fQ7AMGV,447.921326
HvrTTsMfmTcg-Ll,q74rfvX6NT5g.OxqwN9rgTJ3ZnvQ2y5,6057.346680
DueJHTWlj,7BKDED9dF A'J2SO4J5hvc1ptXz,5329.433594
LSkrOF,s0xdI5m5iUAPEeX,9593.359375
gZ Qec-PuYWh,mBP-tIW5VxkPUs,5392.704102
vtXeh-l,uLE,9167.759766
HOUyc,5RLVMdkJPDE 2IS,4321.490234
oiyJhRNhCfM,eeOQ.l''9FPwx'8l,9068.172852
YqaHtqCcCUJGYBI,rdmxR7RviHj466kw6READQ-nm5Bi#7,2980.184814
DAzFUWKzr,'qr,1198.186890
QtqvoLkNU,TJ4SqQ3QIcEvAdcxk,1601.923584
SiT,eTbOYeTL80'.Qm7N6USmUqfM,9306.563477
WUyFSnusW,C.GwZzWzVdZIG5YW?DuX?ndRxGGzMlR,8039.170898
fVzUkbxz,A!WJqeZX5s72AqygzM,5003.369629
CqZIimc ,Zfk!bQZtM-,746.082031
ZQRIyENhJtrT,Ad3,4863.640625
bIyVPwxaFuK,bPNg3XSvHPaY-Zp.DSOsz8Lx,27.189367
QZNIP-,9MDndTCW-NVR-uCl5SYovs- D,2200.812500
haCNqNrMpDGPkeyc,Dk'dvwdK?AHfHMoc!SLuK0c#HL#Aah,4766.693359
BIZ,DLW#imtq,8729.047852
lXdMElpaK,e2Jepd1GS42Wi#,2860.316895
BMYAm-TvjkaNSL,!lpLghiH,895.350525
OLVGlcgtbSEodk,'QIUW6,431.056152
obNb,yyKe69BQzxGMIjCgyQ0kBiC,3620.955322
oyMyEZj,B8CO1zPkZMVbfgv#O615t6pBU,9971.830078
rutHUHhI,ET.Fsi!FJUmdBMynjvIT0ubvPB,1856.023926
qeuai T,2iBkZD?jQN ?V#',8859.739258
oK,dP!rnS1avh2vy6ar,5784.927734
WUOZhcoNFHFf,A4gtAXJzX4VamtB3Oe0,8995.483398
imquHKKpvXPHT,rfwHwS0iwW1iGpZ,818.619385
QURb,8Hh4yah1EyC3HEJ,1455.629517
HsGB,UsxNwhjSAIk0 r'9N32bpsK1oN'Hex,7548.058594
yp,'XgrzWob?eDcY K g,6948.589844
jntPaC,31f'Wm1#35hH'mVdgrU7b,1978.861328
rL,XdhHRFaq,7525.258789
LnV innMyKWR,?eGproGoEs0QCjBE,2786.989502
sG enqEUXH,h0A,7812.784668
RvZIdeJFhejMnMlU,eDA3ylrPYJsEmnOFHtwKpFLELIH,6394.145508
-,gVOHiaDPf253,7253.560547
ZbdmVCi,J4ydNAo6XjK IC0,6798.602051
KnTfAz-zWEPIQ,?of03iHChtg6Ieeb5JJKrG?gMWh,7958.743164
 AMx h,y ShW 0Ig8StGGtHQTKGIzqHTeCO64c,6816.777344
vgw GljGYvUnj,nk#gFdSaUPotvhkkl,8621.228516
sHiwDmXiYXR,8r9fR!Olq6BhG7Ezv4v!xahMW,6941.986328
iV,oEwvn6UE,2937.783691
ItzdvEHnUGcic,e6S?5.R12VyGJ5...vzfGgavRzDqeoc,328.164917
PztGpLqG,3W6sgmV,3530.758789
EsOPPC,1WgH2,9869.892578
ETpJMEPArhU,d!zz3met Qe1RZgS5,5987.492188
PXw,TA CfhOH,3685.115967
KpTihlZfsjW,Mk5K4L03,8088.234863
WmkFKOx,Xr7zkPqXf2H7J8luzPkjMuHMt.w7oex,9803.213867
-JwsJypzxoxDjl,BYgAwci1aHOSK? JN!J4iewyOj9K,2448.709717
igbDpB,ZaZ3PnagErs0PYNNcc81Pn7j.Pzf-XS8,5951.473633
Pmp,sz5c3Z.P!RYA0u1VnCemxgQ9gqA1nq,544.101562
GkCvbZC,vFqb9zBnl5yp#rFMSxfi3xo?fFX30,1372.862305
lovBlODE,UKB#EoDy,2179.442871
tXYKEC-se,uhONu9F3yofteg,3298.763184
pChS-Ee-CfbvZ,Hw?,1237.079712
TxAglUZQZZDdX,3,4145.008301
MedVDRtnWPCbjt,0MHGPHkRR48TNU8tRne2RcDHUU38s3v,4317.041504
vObK V,'D60A2mM.mY2CkxZGEAd#,1855.111328
HVrdUBXtlKQ,Wo59-uI.k15qb'D1fhePf3swTsu,7090.483887
SvNrt,V-nY,6840.999512
RHbb-nzdGKd,PqnIGT,8434.325195
nAxN,yYC8VZ7DxcL2XT52LhuOPyT,3077.457031
