model,owner,mileage
g, !-OrLMvS3,8153.303711
ANfoR, !.Of9PKIfY5yC.g,2243.892578
WC-oMzsIgwlAHx, !14PKA kptB0XK5t,3436.294189
dWiRNkn, !21EC'Qyrw xC9VH6fAD.1Q!za',1983.772827
ucflhvllUS, !4MXB QhQY,5193.367188
j, !5?A!#oMElVPo6UXTae9nrrc1,9858.407227
TrxudWv, !762O-65e'oct!iZtDXS4,6840.555664
BhVDiUxoADdAr UV, !CTnmenh#uwEhD1c0mc1I5gQqt'-,8011.916016
eLdSrzeubNn, !F7f'ebSxYVLAlr25BORqJDVs,8158.554688
voGcrfaSQH, !JXGR9WTBE-jCexOFGqInL!,4128.926758
gHLAf-XRkqZwH, !N70F?I#EpYwNPv2P-UxmzR8hqYs?G4,8110.015137
KOUZnGzww E, !Qnkejw!B,944.403748
P, !R qK!jfXhsXb,6338.065918
g-CORjILJw, !RaHzQ9LJilhaE1mKoyABgG-'?,4093.236084
rx-MyKaPMWFx hji, !Rnl4Y R4QI'SAs2NIzk DN,6572.840332
Kb EBMKIwtHDKnXD, !UO6hIV #yPPCPhRq4,7883.917969
settkNv ATmHGefF, !VkNOUJc0.2?mLmkqgaggtGcp,5726.582031
QVY, !h618-O9'8zvDJ,9449.694336
hOLMKDgloRwgk, !oNK#Jf.twecG73AZSdFGQW od,2884.640137
If, !uBb-rfar1!ksH,1618.099854
SGiPBLXMjkvU, #'jjpyI8zXX,5158.535156
PJag, #-?57q. NzBUhmkeymw 6LfXOm4IS,7277.878906
UGfFndlvbCrxoOs, #2#3q0moMRcVk-n#pEXNF1I2.R?,6657.146973
lncfnbCQjssTaV, #6BcN8q.81JdzXqbAkNpqCYhM7.,845.145508
McaaT, #6NHd76Go0!JzcJ8BrpkET2v1,4340.631836
nhedaaYULmdVTcm, #8hcvgmxwkNXgcpwLCxj!M17m9K#,1349.609985
BNz ev, #AoiPJb6L,5766.431641
XHF, #Atf #Pn3BDXEHI!AVTnKD,5936.883789
jEqcmX, #Db,3324.392334
ZFzOwloOdWNLQL, #I5qHW,9786.819336
Ra, #IM-6feqULbicNmXj??m0PHF-'GyT,5221.285156
dvtypQmRiz, #Kzw9Cd?rweTVrh26'S,5886.040527
NgvrgofUG, #Lq,1672.159424
spzEJ, #QD'vo,4745.497070
RUePtIVACS S, #RsNxG9VPyNyWmW,4601.482422
Bcjw, #cD,3349.429932
DHlsKADa, #czwktWTDC,3452.041748
ua, #dAOHCa#asj,9381.844727
j DGQG T, #dIaIDAwaq#q-d9mH.l#I,8239.097656
RRVrodOShttB, #hTU!QSmr5Ob5NnrvjWf.r' IUvNTQ,1587.267456
g-yyiWQhIpYt, #ld8NZ?#?h6dl,2249.599365
O-iGpq-XvHHREgJ, #qKIUQMC7I2s,7015.422363
JfJvgowwC, #rk8WdDa-.md.,2859.213623
jeGOzgFJCBJbzK, #taKdoEvuDUVNp.bz,5825.775879
ndl, #vm4J8 CLMHJXZI2VzPC-,3333.167725
FByTSmS, #x,4618.552246
zdXQ, ',9196.043945
qv, '!p HR8s!DUP,1818.172119
ty, '!uG6Q1BBqCoSs'A,8703.120117
eZoxDGugAsvemXK, '!w V?kuzIK,9175.960938
vOwHGs AHv, ''w1HQ.'3z0G,4480.485840
hKbWEEZiwrZ, '0ppkIJPLKJc,7285.414062
pDM, '28FEtml,8309.332031
MXprz, '7 ?gzd3EJcaM.l2J6U!SJbpFPz1,1112.767700
GoRTaWlUZcKbmC, 'DR dp!DmJG3x0S5z-Q#PjfK.mY,3010.604980
vesJaK, 'G,6810.836426
NoADvKdXyak, 'G4lxub.uLu9VGa3al4Y,4157.577148
vSIrHluAY, 'OJ.7ootqoqSry#NP7C2-81Bt05,8658.463867
 -DcldXy, 'Q4C8wmNmbcuriu#WIiqoVB?iDCf,6719.214355
TQScE Lz, 'S5TRL#6dDL,5526.018066
o, 'TmCMhdhxOMv8j5-k5Tvz,6590.164062
HHeqaGtMupzB, 'WHDy2,6956.372559
fnQuZLSXTHKQkS, 'XHVf5QmYr,1196.227661
Wnn, 'XmXwZOV olYYgKowbJH,9891.443359
w-EIYNdj, 'YA,8130.494629
 XXqndnnAFZN, 'Z!TTjaJHUM!i8a1mn05QR,4735.686523
NDHrgCTieXpyqb, 'd?LXbJFgC'zy!Vq3g,7341.384277
mrFWfzxJvGTai, 'h8sW#G#jPdJL-C8,957.754822
vQ-geJAhOH, 'hb-o,7196.713379
iIdqDxfLQVUMvxKW, 'kLRJ1LTd5AfC-Nr37H?6QkSe3,2238.491211
DvbhhWEFYr-ly, 'kWooDvFBv50tEFrlCsm7u3aMACmfB,835.735046
eTAPXWdbtDijAvba, 'm7hQ6G'q,4476.746582
 Sl-xHT, 'mjJ,7615.160156
UFXkVDE, 'oa umFtMPgNGFqlW.UdB,5364.995605
Z, 'sw-8qxEP0A4AY1I!q5x,4030.437256
VkTvETa, 't7SdHvsnSMRT?jJpMcn,6347.749023
P, 'xD46Je'y?rib1eReuj!Zk0vwBGPNsd,897.658508
nftss, -,2439.844971
vMhEA, --Sr7pKnbOSF?gZR#EF d6XuLW,1813.057373
LnRHwRsmFmaGdQdc, -2IssPbZ9G'FIBb'M4O#czFBPgnV85a,645.278015
JU, -?ed0,5223.063477
Y-xKALe nbPGUp, -ANSKfuHmZyCVldCQ4Z,9129.627930
zQETP eg, -Br3C5 4MLItbWMsdlO?9 B1u7H,6612.518066
CbEXumDjOF, -FK4f0S.l3uCDF9Z88C2!MOJlN7v,3354.158447
Ws, -GLmO Og9zN6FYF,9078.322266
zTJgl rnB, -O7t,961.596680
pwF, -ObFoIx1KGbYCGMTK,1556.179688
iEKEnQsHF, -ObuY7V6tZuX.zal#,2466.632812
HTYqFLlXyWc, -R,4381.972168
ZzXRqR, -RMtzgkZU8OHNu0y9sFrP'ZhKAyc,485.603607
Eq HA, -ZiU,3133.455811
hyl-, -Zp7X0PUS9?nhZ6WZ-A5rsEsOvAa,6283.198242
TgBfPaSfjbGa, -eOXcvXhrQ6C,8425.243164
VRHbkVvXiZK, -frK?u0AI,1241.311035
uE, -gEMMDewNV5,8483.097656
OGDAk, -lPqcLSxxcC8r#bWc2YWo-U9s62r5,4235.003906
lJZThNsMJgRo, -nNcO-B38q,5038.511230
bR UeELQ-, -oIE.xiV,9445.282227
uxzCt WavyI, -rwB3gqYWUKq,3575.132812
piNtCSORQpgMIc, -s,4992.298828
VHpoZwxCQZvvw-, -v7#7h4J06#nGBG7Zc'Vl?,4526.031250
FcTPDNlfkeywtH, -wc4'GLlZULqb#I3UDM1COxc4PqmIjs,9726.085938
AOS, -zu.QhTOWFEG12HrJrC?cUagfJBuaG,8734.915039
RvAnRloRlLlM, .,1781.111084
rQaYSvexsxFW, .1TAveKWx0kbQUCGlD,2164.297119
bXjmz, .5ctp24SNLTscN.0XBzif?,4601.900879
ZCjrKHgJN, .7p,6878.709961
FG-AWISwTOD qLU, .EKYkGNVMzhKxSGcDyns.XF#,8726.438477
RywQpXr weXO, .GDQb-BtAxv?6GPxE6x?qomtNG,4529.665039
NK, .HvMtwJn,2749.864502
AGntoQrXNOqYkGCB, .J6O6s7.no0,7109.127930
UKI, .JL1iv,3753.100830
UvXAWxnNwqa, .ROoL,3080.118408
vvQzEGheb, .RXk5fus2mg#R!gRO4t#!DKddGIM,4366.599609
jLfIwnumc, .Rna'P6l?bvd6LoMQl,5216.107422
Xm-qsQP, .Sfo8tv9BhV2VP8Je61X,6826.962402
qLfu yV-mHws, .Xaz460m7lU,517.484314
NkH, .YguXB,1938.437622
pWQbwRmiHITOBJ, .Yowyg6XSGg4vI.Q'ENW86sBb ,5390.414551
-vKVrMR, .a,514.122009
rhTjwiExda, .bC'g0n,1205.555542
B, .eowv,2193.729004
TPq, .euna6gh3QA' u,8885.708008
JHNdZUfR, .fBK0MqUpz'11fz3lIjHi#6PjjU,8045.651367
qpDDJkhFs, .hlrZOj6pzEOaI4U9yY,3618.688965
xfSOUuJKDXeueMG, .iCNCOV7sj7ey10rkRFmn9LgDZe?0r,85.513870
sTgeBQYWK, .s2BNhVi3q'kOGU#Wsy-somSjEd6,8572.012695
-OzywdRysS, .vbqRev!Dfx0MbTqb70CTeKX-0-3sA,9635.617188
cEXnH, .y8vdLT.L8DAQFGb4YD9qjDK009,7653.583496
e, .yA1nv0.HRlepRLNkSZWM'7,351.180145
cUSNVZrHvubK, .z9JrzLANxRd,596.906128
aKRKwPzBaI-fzNI, .zMM'3vAlblU#x9RZ.B,1833.541992
H-uxP, .zWJ?7v,4074.620361
d KxvlVImqMUxx, 0,4071.788574
hoQcHQoKw, 0 #Jt8ZDWo34IOGhk79lwsma ,1221.876587
bCW, 0#9XdBiieJBGH59,1087.036133
JR, 0#UMwjcYmv5CTnyOI4t5t!,6577.732910
BqvuB, 0#pq-JXQesiUy63,3427.326416
MpJakHfGX, 0..!?i?WnQT1AliCr pWeQ4wR'XHD,901.024231
DAcwyRcbiCj, 01jV2Jb4jp6.p5Ufy m3PSui3CG,838.086914
kAWjD, 09Pu,365.436249
tKxrAAsqpvy, 0?HAjto.,3481.388672
wPBVNiqFcSckT, 0?HMufxOs.wFcNkv4rXnWAV4J7CC.II,5314.600098
T bH, 0C9eT49pgG8o!maaWQ2WDqRZ,2326.885498
ovkBqWQwW, 0E-I,2809.020752
DiDz, 0E72BKv,1392.474976
KOCRtesnSbX, 0EVTc'd22laUdeP8f2x9,3291.958008
EZ, 0F0MubgYB4gQ!3!0zkS,7343.205566
idct, 0GRpWWtP.sOQ0oU,8051.958496
D, 0R#SNxtqAkmKQqrwjw0X-K.S4D!1,9511.558594
pImh, 0S EQHqz,6474.400391
ZjK-kOKCNtaBZ, 0VXyjUCOFyvVapwOO1Wnv8JlZhBti,8724.476562
XyKWvwmQOezI, 0VtNF4geUvcyU6jy''Tf-ZVp6N,1287.597656
uEYaReyOoWJtsctu, 0Y,6860.896484
WrYQWngmL, 0YYILn60Fd2vnKd zNQWw0!w3B,1208.739136
ExnIwcIKIS, 0Zwk4 vKbW8o4BAmtyrSDJTAA,692.288208
DoR, 0h28MDL,8407.087891
Qtex, 0iZ64VCATKDL?w'NBah2mrRaZ5XJQ8,4404.620605
UXy, 0lPmA5nBiFAi'o#mEqEm!jJzZ.0WQ,1935.251953
hDOskPXeOxAb, 0nvuAoEo8kkWtNjJEJBe9BJfhEW,4681.051270
jQHyCle, 0pnKGaG#YIVDlRtyjTu,3596.756348
ZnEZU-, 0v1UE4M6?vcx,5990.832520
RjYjMHOcg, 0y2NG519 1RFw!dv-#Sov15LR,5367.157715
U, 1 XSx.5oCQYmdLJQ,385.799011
WBrfYCiilteis, 1-vVmleztObM L3V?1D,788.918823
EaQarhz-kxcpEey, 1?FY46wU6VyvxnjZeTwnL-2xg-A'a,2841.416992
YCUUmwtA nOAgGeH, 1B0Pi,3040.072754
xEEij, 1Dz99w'q aZ91wn4auzDJ-ms6Z,4578.873535
rRLvg, 1Ef4qoHt4P9gytjS.rF?MP9Ocx,4090.066406
ntq-HBiabTAzBrP, 1Eiox2Xm6,3286.150879
cTtexN-pkAQ, 1KUTFEO,4646.988281
EB-hlWqbL, 1OQ,2008.434570
RTaVgPy SonXX, 1S3?9LDE5!7UvBV!?GapagxNe.Jt41a,2133.894043
jWoxDJlk jpsQm, 1TbMNBjOw#o9!ms,7458.497070
rGWIOhNqz, 1URqYeV0mgZBZDKdi#PJwe9O6OX,9130.551758
MXRbxpioGmIw, 1WMq?HqrVxt,9315.437500
SqUhQNBpTVb, 1YnkfwQOGY!B,837.595703
cN, 1ZYy49SF w,2178.478516
wZBjRipv, 1bzL?7zz6A8TWj52XE,2796.063721
qFLLUfoyKRYFid, 1eBy,8699.948242
fTH, 1ec8a,2968.078857
M EjQETQb RyXyaK, 1pxOiFlEt9HE2O!NAS0jFGHr,5861.730957
GwygULJoAtvR, 1t#,8600.050781
VxdjIE-ooCxRuydZ, 21uYuS9KVdp,8274.211914
AzoGxmBBwADhfA, 230aSSkktqb?9'GnfgnqgEIEVsXHl,2330.349854
IChxvnLtL, 253urbv-X4D7WA?x,3835.939941
PcgCIIjwdaRArSA, 2ATU?m3PehJpiqTiN0Y3!DSJCsf,3567.887695
qcuckFsE, 2B?'t2TPUIh68AqmDB27h,7327.402344
tbsgzCuNkLVRky, 2GSIkNIa,1115.875610
KVb slANTwDNW, 2I-yYSlLuToaMyMcL.b?ir0o?i33dYE,6764.145508
e, 2LRinNe.x1XhXAT'i,1819.370605
 elaraa, 2S696WO,3324.372559
k WkpcXoYIsIK, 2SDCka,9306.576172
aUl, 2U5B6BACrDhmmBxjN,3680.358887
wsJmRwqaShFxu, 2YBnZZ,9034.957031
NuXd, 2f jNhg,3573.752441
ecdIEptYYwpEudlb, 2mBeHL oXdzMvL63onAdIvIBrvjMwl,5198.799316
vWV, 2w8V4Cr3nOK7.5PNk5uQ,2609.755127
hvsXZP, 2yPdITipOlQhx0j'9NSZUbr,9165.618164
UWcFT, 3,2659.785156
qvzmhkvwdoN, 34.obiyLpNORntbGTIrfx8j6.oRkb,1362.096802
n KjOJPpnT, 37hc'0.w'KgZjj# E!t!',198.549759
Fod, 38yi.c4rhU,6679.457520
e, 3AVK,8966.824219
QgsFdtCpovOhtkgp, 3C1e1avK1Cvyh,9881.330078
HyDT, 3DWZp?,7961.515625
oToaHGXAegmhL, 3G,129.566498
NCjRQPHOwOh, 3Ig,9091.938477
NWvdF, 3LwOUF,4978.791504
HDNGZ, 3XXmV8-N#Ftvb,8752.958008
hbXXZy clLFitk, 3cUhC O8w?qU#WmS!m0LwG,8401.203125
wh, 3oDNmhUyJ7df-u'Klc,2504.420654
pYNMuJFfuzYjB, 3pbR,6354.424316
fYikbaUklI, 3qvXiUfM YlSHF8g4ZWRdj#Tv,9012.130859
keHuKYkktvlzPUX, 3s'k,6620.449707
cxyVmzAJDoJ, 3y4-L,5466.110352
xevcjcvYiFY, 4'b#hfqrwWk,481.041534
auM, 4.R8wp,40.342533
qTFFHTRrIpPEtiP, 41M?klcG29KHHR!fdGPO2,6725.392090
M-ymZ-I, 42lg.Y8sQCnPqsA2akpy4H,5638.816895
qhfugFpUc, 46,695.905396
CpojPDcHGknGCUse, 48X?RcDF7VYqXtHSrWPBXd,5417.372070
KfZuBd WNBus, 4DjPc,8522.376953
SqQPqx, 4EPd!#H?tRj89exBRpuq,805.236267
kq, 4EqvpvUN79hswm79-2g6hszSG#V,6685.508789
pEHU, 4HTfESM48lm0!F ,4539.887207
SwIBiwYSCLGgQICX, 4N8V5z0fdhgVWIt1nstgJ,1790.332520
oMnIJ bcX-my, 4NAputFe9tX4r-lo8WK4AkzakL9CND,3152.539551
AtYnilJ-ECT , 4QoJQ9WnOoawNEWwI2EwW?,3143.601562
IPvF-, 4S ?dzNEQ-2C,4060.767090
sLHtLatTnUvUzMD, 4Xl0pdbw!TQv0d!DrZ2GMFLNIPR ,3253.565430
WMVNaKXSAOCRdRrg, 4ZUN0yJ0cd#lAEY?FmLH1Fxe2,5479.871582
qPwczYF-y, 4cKYqHi,5343.277832
vUPL-lQlNxKmT, 4fJ8PfX rE7go,8627.042969
iGDe, 4iKMx-8.,407.985474
M, 4j.oP,7891.015625
F, 4kcnBWltBm,8511.533203
Tq-Ec, 4p6muWH4SSop9' 14,4978.793457
lLhFop, 4sus,2811.290039
hxyUFcYiwijctBu, 5-K,9613.963867
JAlQHLj, 50jZbX?URWtUC,2074.314453
XIaZUqXgtwLvvu, 51EJI5.9nPuI#9tbdTi,9416.157227
HAHMt, 54,968.409119
gJ, 5?oI!MVYtvJY ?Ww7BTG.Vr5qPNq,7283.166016
C-OOzV, 5CPTqcu,3382.668945
pwpmI , 5E'0?YFc1tM?p?SOPJ6yRl,3127.690430
wAXYQVf, 5I8FOg6f5dHuJ#m0,3622.783691
ibK, 5KVuAaLVji,835.674377
utbB, 5NBndZXko3KqP-l,9967.938477
RP cOzfucE, 5PYygn81Z3-0,2004.754150
-EDDhNLoVfDTwNCe, 5S,133.560959
Tv-j, 5Uxov40-WJ Iae6W,5652.645508
NYANelBmyh, 5cUH6oWiOVx9GskCv.!oXmgLiCQ,3710.385742
uAMGZLiqhpN, 5losp1mDi#UjWrHKeIFqJyaxc ep8nx,9905.458008
O, 5nXNPFVWphO,2341.437256
RKbgVy, 5scE!So9j,9272.509766
bYwCAdfvSJM, 6##v 6dmI#agkH9za5ofsXS,4429.019531
G, 6#N#fpGGu6UiPj,2799.789795
wu, 6-,2927.746582
D, 6.,3702.790039
DdA QOzivqyeR, 68o.gpigZiD3uL,7598.829102
oNyVWQxuhvJe, 696fTWTlhc qzw,1342.154907
KCcWUrJ, 69Ee,1108.460815
lgxIMK, 6?IMBw3GIjN,6197.257324
GNfdDkckcj, 6F!cc3Ggdq.Zgr9.yvNe,8493.562500
aiBYbbzH, 6GO62T0'FXr8wsoqHBwaYU P,5775.541992
vVrYUhVvEx giAV, 6H14i0NiTa8fE,4440.060059
cSFulLOBoOn-S, 6Ni 6MWgmA4y79,9773.500000
UuVrpZaK, 6RMNY,9931.787109
sZDBmfTtwpEm, 6SqTT-BG8LQNRT8ua58M,3698.305664
szpPop, 6Tm,8330.562500
YyPRAG, 6aK,8724.348633
qnEpdWmedRMa-, 6bi.p?8Z2,4985.851562
WNPwgAcp, 6cRxncB!BgcKdElnCMyKO,9228.516602
E d, 6d,471.759674
zwrYtTJNoZJ, 6d0 uYltKZ,7477.861816
zRKZRvC-JptDKEn, 6ehqIIl#u?N#xBra51Bq,8743.307617
ElFkOQIJBUrKRBT, 6em.TwMPw3xhefJ8p7Qk0,5498.098145
aFhCBgEwCr, 6i'HXDRtJxx8gHZEOILYvar78e01,2391.777832
cBNtX, 6rvSbNIdx'l7vP6?XewGcDg#B3tVmFa,9254.511719
XUOdZDTPT, 6u'BEe5RKKlCca,3291.687744
cOLhLyrnrL-UIn, 6vR1-I!sJ3G'tlV-gu96JhJD R'B9,234.844620
ltt, 6y4KX,1003.206177
trntblRC, 7'f.,5687.164062
DjiPsfKQ-zjiILCq, 7'fRgG-'N!-0D!nHI!9 hUlt16,4506.056152
 dzKd, 7.'VQq4z?nxyxhcnSahHeXB,1777.646118
xG , 74WqR ?nNoPsRneb!GlEXFDC3,1937.401245
eQQIAG, 75R35lZdR.wM8k-FShJi2,2039.244019
ZZFAm, 77cGxI7JHZSb !?sSR kUZMnwEk65sB,3464.950928
tqBOep dEnD, 77m6rIvDIuujUS,6314.806641
FWoNkkDb, 78wGSctHG,4378.432617
cprexg, 79WytheoQU1tBnklchce gGXxh,7294.979980
WKCdSvO, 7DfyMi'mpyeZ!Utj#Zt,9087.525391
gBELCCiZmW, 7GvoxxNRzq6TeeNe fWbA,837.972717
NkPfOqqxkYw, 7J?reqV-,7647.993164
woEeWHaILgOnlzR, 7Qm6GF#meMRHHvYM3ix0fwY'9JZJ,8691.556641
tBIEPYhfzhi T, 7Wh6Kbql--jaMYX OTo?'?z,2879.881104
RPeVoTPspn, 7biNbam0MOQM-rCU8,6820.270020
D fTeJtvZyMpkA, 7cjteY!Dp'BDNLY,9576.002930
oRDSHdsCHwWYz, 7eAY-?cMjw0d,9595.968750
uW, 7ecyBs,3607.014404
iEOrrgr vsNDXHj, 7eiNRQS-3BRJEjrUs'Yng4v347sO2Zs,408.075226
wuznypQC, 7fuunG!Ih7v4EXdwlt,2261.199219
rADFSWU gZjs, 7k7P,9132.829102
qdQGhVZAJKe, 7o6Z1SD4CDKiQ6KuIb0z PbE,8004.487305
EQExdGwIFUzaq C, 7o7HHHesVgEr?sK4Q3MBi,7980.343750
yVxaAioYuer, 7x3-z45E-BwLqxvUb#T4F9pXkcUIws,9857.675781
oqBbBBLmv, 7y4Z#odw#Aqqeqp,4057.314697
lK-fdrl y, 8,652.586853
CLLqlv, 8,3322.536621
VvKPnXO, 8,5808.212402
RJBFhAUSmFbYryjm, 8'-?AIUGM5bDL2,8605.638672
NkorJCBETWBqSq, 8'huUq0FTSX6T2TYHcartlk,2775.366455
PLGrTjUnngEnQY, 8B.1!XC4,8322.597656
t XDI, 8D'fxdjQFIxrrskwL F..4Ig,8877.136719
Q, 8K! JcE482XaNM,2256.723877
YZUrItGKqVpttG, 8P0sWgIYHP9,3343.152588
FevvWBB-dRG, 8UuuGZkJIajSiW4v9AWIbuiosQ3,1550.500854
bPqXGsXbScYvHKil, 8Uw-TxL,1695.059448
v-Xos, 8Vqdr-!At3.u01,5863.039062
OsWr, 8XziBWQN.F tZ?B' 8TtP!EL,567.036011
nFsUAzwSNt, 8aZ0BTSobwuLk985dDAmjjGh,8541.653320
QvcmxTZOzFbUJWbd, 8c,9200.307617
cHizK, 8e.Tta.I97Iid74lUjtM,8661.916992
kudHrHwCDSxkL, 8eqF!hp5e fo,5864.945801
iGv NBYbgZptP, 8gXd#fQWry,12.312769
klgFxDuaiipVgi, 8gcAP39AV7fQayIzQEq2dPixyI,2264.730225
ysep, 8hR!u6AaeUT!vqEGH'a !Di?!rB1Xe9,6889.851074
ieH, 8r'97!UfH9syEpwvi7e,1477.411621
mAdVE, 9 bIEMXKdeMhjzPLT6IC6GqjfDByN,4494.422852
rDppiygX, 9 fi!q1,5543.463867
iFA, 93#BO8ijQm3KNPfgTNe0Bd'd',2812.848389
idHvjiqOtOUjjgyT, 96bE!SA5dubKK c?Dda,2789.673584
hZd fSZNC, 9ApvsOC5BvFq.DIqGYAYysIp!8hePt4,7202.268066
KJyW, 9B2T3F#YsH'9 !Ctd98CuQ,4430.972656
Vf, 9BgpLt,586.158447
cUpNZhOs, 9D7fhHwY,7095.683594
gEadzKZjSQJu, 9Oo ,126.294327
gSJQa, 9Uo9z4PzoB!e-Y'ie3IY8RF94?mC,5173.283203
wUFxWOTexR, 9W!qzA!s,3188.128906
QFBIwP, 9ZSGFkfU2-q1cD?y139fzio AW',6831.286621
dgNKox, 9gScOYEZ6d,3314.699707
oKG, 9m 4pWAZbJDAe,1147.990967
rrOrfTjxL, 9mnA#tUki2cp,771.760559
YMQogesHkApyZ, 9o0iE-gGd0lgR,9293.834961
Xf-PfpOyG, 9pE H6ud2ZvP6Z72xi  YLsV0Q,1440.795532
AF, 9wt,5343.656738
YLYU, ?,6562.023926
uXAkvHZl, ?1ZxL5,9279.365234
jM, ?3.uo,8561.250000
Og, ?3PQbLJ,3446.278076
BkOJlowVa DOjS, ?4Cp,1928.497803
ezliCmJTVxWu c, ?8x8,8404.328125
V-YhQqurEJ, ?9YcExmLIzytsfNrdau 6,6466.547363
yVqbAeEJ, ?Agr,6377.860352
Mnwlu, ?Dh0EDEqD8!U37p1zjFX,8452.611328
mjihyKKQKddzg, ?Em'PZ4ZJ0Iu4 cCNPZG,5676.479004
sskMayLhsvDGVb, ?FR?R83JvwTXDk'8pnfUC CJnydt,8711.422852
wSxGC-UxiSLS, ?FwvjIxfaID.ftATszgq nK9A1gcaB,641.929382
toqEX, ?LkRlJ7Tp!7!QUN2gP2T1s7u7wrh,1671.756348
T, ?QuN68tTzyOVLwJ5QZhc817JRO!vp,4959.854492
LHeM-dMm AdLOQp, ?bbIgY,1834.188110
WpcOVelofb, ?e01YAlKn2IPIcO8-?WKF4O60ib,355.817200
WFdE SbHfioolvo, ?fQbmxmk3KcRk,9126.033203
IaA gaFzAGsml, ?h5-JjUtdn-,8639.151367
HMPOoybwfuELzyOL, ?q8LXRTy qI9?U2DD-P,2051.641113
uvFvX, ?tP0tgN-#8F1P.44J4z,5620.697266
NaPtOEMOi, ?vhu'fe'wugn,3420.903076
aAR, A 'SLsaogrBQ,7309.060059
BNkopFVVErIbtl, A-ICftjE'h,3900.648682
zoHgSfmYWNdY, A1XzvQT 4q,54.608570
aiDehy-Njzzvz, A4nGahynkY KC5-pmb!FU!cphxcl,8990.208984
-DXINftyat, A6krR58WqrdUbUp',5710.133301
GoMn-O, A733HZ,3553.774170
nbFut, A8UNjD.y6Cf,3116.696777
CjBtH-r, A?.L2Xh!tg,6397.998535
OhbXdoBSANF-JXd, ABgww04toj ?uAL2z54,6160.113281
fsQPROPqpifr , AD?pWvo?A4QM,2366.556641
DqJFYqm, AGwUv!Y-u1ou#HcvIQxxV-bG2MUfQqe,7103.212891
tW, AIPkdVA,1225.463379
fKqmCvzpSuwVH, ANTx'Hc0NN6aIXe4XQ8,2532.008057
aCSIdc, AVyOIa!9u65AOUs-4,2191.009521
E, AZhEcdE9qJUO3h,2763.449707
vRTzDiiSYcoXyN, AbCb,4076.687500
XAyvtavc  BfzY, AbToKJUcbwen.#j4aoWcnBF,1533.861816
WPcSbl, AdQc2FpxX?84QLnj'aG7CMRd,1376.771362
DyNjmMeKiG, Adx!,5739.258789
escnBMGCBrRzs, Ao!BhMgC8WLzSwPs9tijS#fGnL,6471.430664
zuoRgPIYRRlo, Aqzpo2YKh2!H8J3s1Z5MOI.TsdYS9eQ,8615.130859
OrnltWcyV, ArBeuzEj6p5uwaedvv,1018.444458
MDXKF, Asyim,5193.670898
watbSoFUcHBFBocK, AzDva7zO.l-p0Rb!2CLdP33E1N28e-N,2538.211914
XLsNrUruiicqd, B!ThL,1410.466309
