model,owner,mileage
IQ,6kehCE#YLx29xUNv,4197.813477
KTyLGMm N,ZOslZ.skx19GVUyc-#xpmuaZPQT,5279.400879
zBS imwhylpJ,w5!UEHmyW#qXrC.-F-Lpsw52ExkWn7,9073.140625
CfNIVzuUQLTCpON,sZLifzHJWR2.,2225.364502
JtbKalxKtltAOI,hYP6sXIonO.B'AGYAAfX 8ar50zqq,3782.758789
YjcK,dDi4aQpL ss',8430.063477
fB,UFQbCD5xNZDwfx'Id0gT!RS4GmcB,5575.398926
jnYOaubZwDgHS,KACNjI3WWFJ0RjkdA.jq75J,8720.216797
CZNhP-WeSN,O2Ot4Vcb40SnUzDh,1950.367798
n DAaKn EIfGV,Ew9saJ74,2198.599609
